id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
16817,½ cup dried split peas,2204,cup,peas,2-Jan,1/2 cup dried split peas,,
16818,½ cup dry lentils,2204,cup,dry lentils,2-Jan,1/2 cup dry lentils,,
16819,"3 ½ cups water, divided",2204,,,,"3 1/2 cups water, divided",,
16820,"1 clove garlic, diced",2204,clove,garlic,1,"1 clove garlic, diced",,
16821,½ tablespoon diced fresh ginger,2204,tablespoon,ginger,2-Jan,1/2 tablespoon diced fresh ginger,,
16822,"1 ¼ teaspoons salt, or to taste",2204,,,,"1 1/4 teaspoons salt, or to taste",,
16823,½ teaspoon ground turmeric,2204,teaspoon,turmeric,2-Jan,1/2 teaspoon ground turmeric,,
16824,½ teaspoon ground black pepper,2204,teaspoon,black pepper,2-Jan,1/2 teaspoon ground black pepper,,
16825,½ teaspoon chile powder,2204,teaspoon,chile powder,2-Jan,1/2 teaspoon chile powder,,
16826,¼ teaspoon ground cinnamon,2204,teaspoon,cinnamon,4-Jan,1/4 teaspoon ground cinnamon,,
16827,¼ teaspoon ground cumin,2204,teaspoon,cumin,4-Jan,1/4 teaspoon ground cumin,,
16828,"1  dried red chile pepper, crushed",2204,,,,"1  dried red chile pepper, crushed",,
16829,2  bay leaves,2204,,,,2  bay leaves,,
16830,2 cups cubed peeled acorn squash,2204,cup,acorn squash,2,2 cups cubed peeled acorn squash,,
16831,2 cups cubed yam,2204,cup,yam,2,2 cups cubed yam,,
16832,"2  tomatoes, diced",2204,,,,"2  tomatoes, diced",,
16833,"½  onion, diced",2204,,,,"1/2  onion, diced",,
16834,"1 cup millet, rinsed",2662,cup,millet,1,"1 cup millet, rinsed",,
16835,2 cups water,2662,cup,water,2,2 cups water,,
16836,"1  onion, thinly sliced",2662,,,,"1  onion, thinly sliced",,
16837,½ teaspoon ground coriander,2662,teaspoon,coriander,2-Jan,1/2 teaspoon ground coriander,,
16838,¼ teaspoon ground ginger,2662,teaspoon,ginger,4-Jan,1/4 teaspoon ground ginger,,
16839,¼ teaspoon ground cumin,2662,teaspoon,cumin,4-Jan,1/4 teaspoon ground cumin,,
16840,¼ teaspoon ground turmeric,2662,teaspoon,turmeric,4-Jan,1/4 teaspoon ground turmeric,,
16841,1 pinch sea salt,2662,pinch,sea salt,1,1 pinch sea salt,,
16842,2 cups chopped fresh spinach,2662,cup,spinach,2,2 cups chopped fresh spinach,,
16843,1 (28 ounce) can diced tomatoes,2662,,tomatoes,1,1 (28 ounce) can diced tomatoes,,
16844,1 (14 ounce) can coconut milk,2662,,coconut milk,1,1 (14 ounce) can coconut milk,,
16845,2 tablespoons chopped toasted almonds,2662,tablespoon,almonds,2,2 tablespoons chopped toasted almonds,,
16846,2 tablespoons vegetable oil,417,tablespoon,vegetable oil,2,2 tablespoons vegetable oil,,
16847,"2  onions, minced",417,,,,"2  onions, minced",,
16848,"2 cloves garlic, minced",417,clove,garlic,2,"2 cloves garlic, minced",,
16849,"2 teaspoons fresh ginger root, finely chopped",417,teaspoon,ginger root,2,"2 teaspoons fresh ginger root, finely chopped",,
16850,6  whole cloves,417,,,,6  whole cloves,,
16851,"2 (2 inch) sticks cinnamon, crushed",417,stick,cinnamon,2,"2 (2 inch) sticks cinnamon, crushed",,
16852,1 teaspoon ground cumin,417,teaspoon,cumin,1,1 teaspoon ground cumin,,
16853,1 teaspoon ground coriander,417,teaspoon,coriander,1,1 teaspoon ground coriander,,
16854,salt,417,,salt,,salt,,
16855,1 teaspoon cayenne pepper,417,teaspoon,cayenne pepper,1,1 teaspoon cayenne pepper,,
16856,1 teaspoon ground turmeric,417,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
16857,2 (15 ounce) cans garbanzo beans,417,can,garbanzo beans,2,2 (15 ounce) cans garbanzo beans,,
16858,1 cup chopped fresh cilantro,417,cup,cilantro,1,1 cup chopped fresh cilantro,,
16859,"4 tablespoons avocado oil, divided",1241,tablespoon,avocado oil,4,"4 tablespoons avocado oil, divided",,
16860,"¾ cup basmati rice, well rinsed",1241,cup,basmati rice,4-Mar,"3/4 cup basmati rice, well rinsed",,
16861,¼ cup orzo,1241,cup,orzo,4-Jan,1/4 cup orzo,,
16862,"1 ½ cups low-sodium vegetable broth, divided",1241,,,,"1 1/2 cups low-sodium vegetable broth, divided",,
16863,1 teaspoon granulated garlic,1241,teaspoon,garlic,1,1 teaspoon granulated garlic,,
16864,¼ teaspoon smoked paprika,1241,teaspoon,smoked paprika,4-Jan,1/4 teaspoon smoked paprika,,
16865,1 ½ teaspoons onion powder,1241,,,,1 1/2 teaspoons onion powder,,
16866,½ (10 ounce) package sliced cremini mushrooms,1241,,(10 ounce) package sliced cremini mushrooms,2-Jan,1/2 (10 ounce) package sliced cremini mushrooms,,
16867,2 tablespoons chopped fresh parsley,1241,tablespoon,parsley,2,2 tablespoons chopped fresh parsley,,
16868,1 pinch salt to taste,1241,pinch,salt,1,1 pinch salt to taste,,
16869,"12 ounces fresh rhubarb, cut into 1/2 inch pieces",1906,ounce,rhubarb,12,"12 ounces fresh rhubarb, cut into 1/2 inch pieces",,
16870,½ cup white sugar,1906,cup,white sugar,2-Jan,1/2 cup white sugar,,
16871,cooking spray,1599,,cooking spray,,cooking spray,,
16872,1 (15 ounce) can black beans,1599,,black beans,1,1 (15 ounce) can black beans,,
16873,¼ cup water,1599,cup,water,4-Jan,1/4 cup water,,
16874,1 (18 ounce) package double-chocolate vegan brownie mix,1599,,(18 ounce) package double-chocolate vegan brownie mix,1,1 (18 ounce) package double-chocolate vegan brownie mix,,
16875,1 ½ cups brown rice,1784,,,,1 1/2 cups brown rice,,
16876,3 cups water,1784,cup,water,3,3 cups water,,
16877,2 tablespoons olive oil,1784,tablespoon,olive oil,2,2 tablespoons olive oil,,
16878,"4 cloves garlic, finely chopped",1784,clove,garlic,4,"4 cloves garlic, finely chopped",,
16879,1 (15 ounce) can pumpkin,1784,,can pumpkin,1,1 (15 ounce) can pumpkin,,
16880,"2 large carrots, peeled and finely grated",1784,,carrots,2,"2 large carrots, peeled and finely grated",,
16881,¼ teaspoon salt,1784,teaspoon,salt,4-Jan,1/4 teaspoon salt,,
16882,¼ teaspoon ground cloves,1784,teaspoon,cloves,4-Jan,1/4 teaspoon ground cloves,,
16883,2 (15 ounce) cans black beans,3081,can,black beans,2,2 (15 ounce) cans black beans,,
16884,"1  onion, diced",3081,,,,"1  onion, diced",,
16885,"1 teaspoon water, or as needed",3081,teaspoon,water,1,"1 teaspoon water, or as needed",,
16886,2 cups cooked brown rice,3081,cup,brown rice,2,2 cups cooked brown rice,,
16887,½ cup corn,3081,cup,corn,2-Jan,1/2 cup corn,,
16888,½ cup cornmeal,3081,cup,cornmeal,2-Jan,1/2 cup cornmeal,,
16889,¼ cup salsa,3081,cup,salsa,4-Jan,1/4 cup salsa,,
16890,2 teaspoons garlic powder,3081,teaspoon,garlic powder,2,2 teaspoons garlic powder,,
16891,2 teaspoons ground cumin,3081,teaspoon,cumin,2,2 teaspoons ground cumin,,
16892,½ teaspoon chili powder,3081,teaspoon,chili powder,2-Jan,1/2 teaspoon chili powder,,
16893,"1 pint fresh strawberries, sliced",2249,pint,strawberries,1,"1 pint fresh strawberries, sliced",,
16894,"4  roma (plum) tomatoes, seeded and chopped",2249,,,,"4  roma (plum) tomatoes, seeded and chopped",,
16895,"1  jalapeno peppers, seeded and minced",2249,,,,"1  jalapeno peppers, seeded and minced",,
16896,"2 cloves garlic, minced",2249,clove,garlic,2,"2 cloves garlic, minced",,
16897,"1  lime, juiced",2249,,,,"1  lime, juiced",,
16898,1 tablespoon olive oil,2249,tablespoon,olive oil,1,1 tablespoon olive oil,,
16899,2 tablespoons extra-virgin olive oil,2044,tablespoon,olive oil,2,2 tablespoons extra-virgin olive oil,,
16900,"3  carrots, chopped",2044,,,,"3  carrots, chopped",,
16901,"1  onion, chopped",2044,,,,"1  onion, chopped",,
16902,"4 large mushrooms, chopped",2044,,mushrooms,4,"4 large mushrooms, chopped",,
16903,"4 cloves garlic, minced",2044,clove,garlic,4,"4 cloves garlic, minced",,
16904,4 cups savory vegetable broth,2044,cup,savory vegetable broth,4,4 cups savory vegetable broth,,
16905,2 cups quinoa,2044,cup,quinoa,2,2 cups quinoa,,
16906,1 tablespoon soy sauce,2044,tablespoon,soy sauce,1,1 tablespoon soy sauce,,
16907,1 teaspoon ground ginger,2044,teaspoon,ginger,1,1 teaspoon ground ginger,,
16908,2 cups baby kale,2044,cup,baby kale,2,2 cups baby kale,,
16909,"2 ½ pounds firm, shiny eggplants",1753,,,,"2 1/2 pounds firm, shiny eggplants",,
16910,"3 large green bell peppers, or more to taste",1753,,green bell peppers,3,"3 large green bell peppers, or more to taste",,
16911,"3 large red bell peppers, or more to taste",1753,,red bell peppers,3,"3 large red bell peppers, or more to taste",,
16912,cooking spray,1753,,cooking spray,,cooking spray,,
16913,"5 cloves garlic, peeled and sliced",1753,clove,garlic,5,"5 cloves garlic, peeled and sliced",,
16914,salt and ground black pepper to taste,1753,,salt and black pepper,,salt and ground black pepper to taste,,
16915,"2 tablespoons white vinegar, or to taste",1753,tablespoon,white vinegar,2,"2 tablespoons white vinegar, or to taste",,
16916,¾ cup corn oil,1753,cup,corn oil,4-Mar,3/4 cup corn oil,,
16917,4 cups water,1123,cup,water,4,4 cups water,,
16918,"1 cube vegetable bouillon, or more to taste",1123,cube,vegetable bouillon,1,"1 cube vegetable bouillon, or more to taste",,
16919,¾ cup red lentils,1123,cup,red lentils,4-Mar,3/4 cup red lentils,,
16920,2  bay leaves,1123,,,,2  bay leaves,,
16921,"½ pound carrots, chopped",1123,pound,carrots,2-Jan,"1/2 pound carrots, chopped",,
16922,"¼ pound fresh mushrooms, finely chopped",1123,pound,mushrooms,4-Jan,"1/4 pound fresh mushrooms, finely chopped",,
16923,salt and ground black pepper to taste,1123,,salt and black pepper,,salt and ground black pepper to taste,,
16924,1 tablespoon olive oil,1123,tablespoon,olive oil,1,1 tablespoon olive oil,,
16925,"1  onion, chopped",1123,,,,"1  onion, chopped",,
16926,"2 cloves garlic, minced, or more to taste",1123,clove,garlic,2,"2 cloves garlic, minced, or more to taste",,
16927,¼ pound hemp seeds,1123,pound,hemp seeds,4-Jan,1/4 pound hemp seeds,,
16928,"1 bunch cilantro, chopped",1123,bunch,cilantro,1,"1 bunch cilantro, chopped",,
16929,1 (16 ounce) package dried black-eyed peas,287,,black-eyed peas,1,1 (16 ounce) package dried black-eyed peas,,
16930,2 slices  lemon,287,,,,2 slices  lemon,,
16931,½ teaspoon white sugar,287,teaspoon,white sugar,2-Jan,1/2 teaspoon white sugar,,
16932,"1 large Caserta zucchini, cubed",287,,zucchini,1,"1 large Caserta zucchini, cubed",,
16933,"4  carrots, cubed",287,,,,"4  carrots, cubed",,
16934,salt to taste,287,,salt,,salt to taste,,
16935,"2 large tomatoes, finely chopped",287,,tomatoes,2,"2 large tomatoes, finely chopped",,
16936,"1  onion, finely chopped",287,,,,"1  onion, finely chopped",,
16937,"2 tablespoons olive oil, or to taste",287,tablespoon,olive oil,2,"2 tablespoons olive oil, or to taste",,
16938,"2 tablespoons lemon juice, or to taste",287,tablespoon,lemon juice,2,"2 tablespoons lemon juice, or to taste",,
16939,"1 tablespoon capers, or to taste",287,tablespoon,capers,1,"1 tablespoon capers, or to taste",,
16940,2 tablespoons olive oil,1845,tablespoon,olive oil,2,2 tablespoons olive oil,,
16941,"1 small leek, thinly sliced",1845,,leek,1,"1 small leek, thinly sliced",,
16942,"20  kale buds, flowers removed for garnish",1845,,,,"20  kale buds, flowers removed for garnish",,
16943,"½  lemon, juiced and zested",1845,,,,"1/2  lemon, juiced and zested",,
16944,2 cups cooked quinoa,1845,cup,quinoa,2,2 cups cooked quinoa,,
16945,2 tablespoons lemon-flavored olive oil,1845,tablespoon,lemon-flavored olive oil,2,2 tablespoons lemon-flavored olive oil,,
16946,salt and ground black pepper to taste,1845,,salt and black pepper,,salt and ground black pepper to taste,,
16947,1 ⅔ cups water,224,,,,1 2/3 cups water,,
16948,1 (2 inch) konbu (kelp) square,224,,(2 inch) konbu,1,1 (2 inch) konbu (kelp) square,,
16949,2 ½ tablespoons soy sauce,224,,,,2 1/2 tablespoons soy sauce,,
16950,2 tablespoons mirin (Japanese sweet wine),224,tablespoon,mirin,2,2 tablespoons mirin (Japanese sweet wine),,
16951,1 tablespoon sake,224,tablespoon,sake,1,1 tablespoon sake,,
16952,½ cup white vinegar,1000,cup,white vinegar,2-Jan,1/2 cup white vinegar,,
16953,½ cup salad oil,1000,cup,salad oil,2-Jan,1/2 cup salad oil,,
16954,½ cup white sugar,1000,cup,white sugar,2-Jan,1/2 cup white sugar,,
16955,1 teaspoon garlic powder,1000,teaspoon,garlic powder,1,1 teaspoon garlic powder,,
16956,"1 small red onion, sliced",1000,,red onion,1,"1 small red onion, sliced",,
16957,"2 (14.5 ounce) cans French-style green beans, drained",1000,,French-style green beans,2,"2 (14.5 ounce) cans French-style green beans, drained",,
16958,"1 (14.5 ounce) can bean sprouts, drained",1000,,(14.5 ounce) can bean sprouts,1,"1 (14.5 ounce) can bean sprouts, drained",,
16959,1 tablespoon salt,2039,tablespoon,salt,1,1 tablespoon salt,,
16960,1 (16 ounce) package spinach spaghetti pasta,2039,,spinach spaghetti pasta,1,1 (16 ounce) package spinach spaghetti pasta,,
16961,"1  ripe avocado - peeled, pitted, and chopped",2039,,,,"1  ripe avocado - peeled, pitted, and chopped",,
16962,"2 tablespoons olive oil, or to taste",2039,tablespoon,olive oil,2,"2 tablespoons olive oil, or to taste",,
16963,"2 tablespoons coconut milk, or to taste",2039,tablespoon,coconut milk,2,"2 tablespoons coconut milk, or to taste",,
16964,2 tablespoons fresh basil,2039,tablespoon,basil,2,2 tablespoons fresh basil,,
16965,sea salt and freshly ground black pepper to taste,2039,,sea salt and black pepper,,sea salt and freshly ground black pepper to taste,,
16966,1 tablespoon olive oil,2039,tablespoon,olive oil,1,1 tablespoon olive oil,,
16967,"½  shallot, finely chopped",2039,,,,"1/2  shallot, finely chopped",,
16968,"2 cloves garlic, minced",2039,clove,garlic,2,"2 cloves garlic, minced",,
16969,"1 large zucchini, sliced",2039,,zucchini,1,"1 large zucchini, sliced",,
16970,"1 (8 ounce) package fresh spinach, stems removed",2039,package,spinach,1,"1 (8 ounce) package fresh spinach, stems removed",,
16971,"2 tablespoons fresh basil, or more to taste",2039,tablespoon,basil,2,"2 tablespoons fresh basil, or more to taste",,
16972,2 cups ice cubes,2955,cup,ice cubes,2,2 cups ice cubes,,
16973,½ cup soy milk,2955,cup,soy milk,2-Jan,1/2 cup soy milk,,
16974,"2 tablespoons crunchy peanut butter, or to taste",2955,tablespoon,peanut butter,2,"2 tablespoons crunchy peanut butter, or to taste",,
16975,"1 teaspoon carob powder, or more to taste",2955,teaspoon,carob powder,1,"1 teaspoon carob powder, or more to taste",,
16976,"1 teaspoon agave nectar, or more to taste",2955,teaspoon,agave nectar,1,"1 teaspoon agave nectar, or more to taste",,
16977,1 tablespoon olive oil,1668,tablespoon,olive oil,1,1 tablespoon olive oil,,
16978,"2 tablespoons coconut aminos teriyaki sauce, divided",1668,tablespoon,coconut aminos teriyaki sauce,2,"2 tablespoons coconut aminos teriyaki sauce, divided",,
16979,"1 large carrot, thinly sliced",1668,,carrot,1,"1 large carrot, thinly sliced",,
16980,"½ large green bell pepper, thinly sliced",1668,,green bell pepper,2-Jan,"1/2 large green bell pepper, thinly sliced",,
16981,"¼ large yellow onion, thinly sliced",1668,,onion,4-Jan,"1/4 large yellow onion, thinly sliced",,
16982,"1 head baby bok choy, chopped",1668,head,baby bok choy,1,"1 head baby bok choy, chopped",,
16983,"1 large zucchini, cut into long strands",1668,,zucchini,1,"1 large zucchini, cut into long strands",,
16984,1 teaspoon garlic powder,1668,teaspoon,garlic powder,1,1 teaspoon garlic powder,,
16985,1 pound uncooked white rice,20,pound,white rice,1,1 pound uncooked white rice,,
16986,"4 cups water, or as needed",20,cup,water,4,"4 cups water, or as needed",,
16987,½ teaspoon salt,20,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16988,"2 cups water, or more as needed",20,cup,water,2,"2 cups water, or more as needed",,
16989,salt to taste,20,,salt,,salt to taste,,
16990,"2 cups dry lentils, rinsed",20,cup,dry lentils,2,"2 cups dry lentils, rinsed",,
16991,"¼ cup vegetable oil, divided",20,cup,vegetable oil,4-Jan,"1/4 cup vegetable oil, divided",,
16992,"2 large onions, thinly sliced",20,,onions,2,"2 large onions, thinly sliced",,
16993,½ teaspoon saffron,20,teaspoon,saffron,2-Jan,1/2 teaspoon saffron,,
16994,⅓ cup hot water,20,cup,water,,1/3 cup hot water,,
16995,"¾ cup pitted, chopped dates",20,cup,dates,4-Mar,"3/4 cup pitted, chopped dates",,
16996,¾ cup raisins,20,cup,raisins,4-Mar,3/4 cup raisins,,
16997,1 cup pecans,2699,cup,pecans,1,1 cup pecans,,
16998,1 cup coconut milk,2699,cup,coconut milk,1,1 cup coconut milk,,
16999,1 cup almond milk,2699,cup,almond milk,1,1 cup almond milk,,
17000,1 tablespoon maple syrup,2699,tablespoon,maple syrup,1,1 tablespoon maple syrup,,
17001,1 teaspoon ground cinnamon,2699,teaspoon,cinnamon,1,1 teaspoon ground cinnamon,,
17002,"1 pinch ground nutmeg, or more to taste",2699,pinch,nutmeg,1,"1 pinch ground nutmeg, or more to taste",,
17003,"1 pinch pumpkin pie spice, or more to taste",2699,pinch,pumpkin pie spice,1,"1 pinch pumpkin pie spice, or more to taste",,
17004,½ cup vegan margarine,1132,cup,vegan margarine,2-Jan,1/2 cup vegan margarine,,
17005,1 cup shredded carrot,1132,cup,carrot,1,1 cup shredded carrot,,
17006,1 cup chopped celery,1132,cup,celery,1,1 cup chopped celery,,
17007,"1 medium onion, chopped",1132,,onion,1,"1 medium onion, chopped",,
17008,½ teaspoon salt,1132,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
17009,¼ teaspoon ground cinnamon,1132,teaspoon,cinnamon,4-Jan,1/4 teaspoon ground cinnamon,,
17010,⅛ teaspoon ground black pepper,1132,teaspoon,black pepper,,1/8 teaspoon ground black pepper,,
17011,8 cups seasoned bread cubes,1132,cup,bread cubes,8,8 cups seasoned bread cubes,,
17012,2 cups chopped apple,1132,cup,apple,2,2 cups chopped apple,,
17013,½ cup chopped walnuts,1132,cup,walnuts,2-Jan,1/2 cup chopped walnuts,,
17014,"½ cup vegetable broth, or more as needed",1132,cup,vegetable broth,2-Jan,"1/2 cup vegetable broth, or more as needed",,
17015,"1  lime - zested, peeled, and sliced",478,,,,"1  lime - zested, peeled, and sliced",,
17016,"1  mandarin orange (tangerine) - zested, peeled, and sectioned",478,,,,"1  mandarin orange (tangerine) - zested, peeled, and sectioned",,
17017,"1  navel orange, peeled and sectioned",478,,,,"1  navel orange, peeled and sectioned",,
17018,"1  grapefruit, peeled and sectioned",478,,,,"1  grapefruit, peeled and sectioned",,
17019,"1 bulb shallots, diced",478,bulb,shallots,1,"1 bulb shallots, diced",,
17020,1 tablespoon lemon juice,478,tablespoon,lemon juice,1,1 tablespoon lemon juice,,
17021,1 tablespoon olive oil,478,tablespoon,olive oil,1,1 tablespoon olive oil,,
17022,½ teaspoon salt,478,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
17023,"1 head romaine lettuce, torn",478,head,romaine lettuce,1,"1 head romaine lettuce, torn",,
17024,2 cups packed brown sugar,2872,cup,brown sugar,2,2 cups packed brown sugar,,
17025,⅛ teaspoon salt,2872,teaspoon,salt,,1/8 teaspoon salt,,
17026,¾ cup soy milk,2872,cup,soy milk,4-Mar,3/4 cup soy milk,,
17027,2 tablespoons light corn syrup,2872,tablespoon,corn syrup,2,2 tablespoons light corn syrup,,
17028,4 tablespoons peanut butter,2872,tablespoon,peanut butter,4,4 tablespoons peanut butter,,
17029,1 teaspoon vanilla extract,2872,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
17030,"8  zucchini, peeled and chopped",2065,,,,"8  zucchini, peeled and chopped",,
17031,"1  eggplant, peeled and diced",2065,,,,"1  eggplant, peeled and diced",,
